,Home Team,Away Team,Match Date,Home Team ball_possession,Away Team ball_possession,Home Team passes_accuracy,Away Team passes_accuracy,Home Team passes_attempted,Away Team passes_attempted,Home Team passes_completed,Away Team passes_completed,Home Team distance_covered,Away Team distance_covered,Home Team goals,Away Team goals,Home Team attempts,Away Team attempts,Home Team attempts_on_target,Away Team attempts_on_target,Home Team attempts_off_target,Away Team attempts_off_target,Home Team attempts_blocked,Away Team attempts_blocked,Home Team attempts_on_woodwork,Away Team attempts_on_woodwork,Home Team corners,Away Team corners,Home Team offsides,Away Team offsides,Home Team recovered_ball,Away Team recovered_ball,Home Team tackles,Away Team tackles,Home Team blocked,Away Team blocked,Home Team clearance_completed,Away Team clearance_completed,Home Team yellow_cards,Away Team yellow_cards,Home Team red_cards,Away Team red_cards,Home Team fouls_committed,Away Team fouls_committed
0,Man City,Inter ,2023-06-10,57,43,87,83,513,401,448,331,112.9,114.19,1,0,7,14,4,5,3,7,0,2,0,1,2,4,1,1,35,33,8,17,2,0,12,2,2,4,0,0,11,17
1,Man City,Real Madrid ,2023-05-17,61,39,90,87,624,417,562,362,111.97,106.54,4,0,16,7,8,3,6,2,2,2,0,1,7,3,0,0,43,24,13,10,2,2,4,12,3,2,0,0,16,14
2,Inter,Milan ,2023-05-16,43,57,83,84,336,433,280,364,111.87,110.29,1,0,15,5,4,1,6,3,5,1,0,0,5,3,1,0,48,38,17,14,1,5,23,10,2,4,0,0,15,22
3,Milan,Inter ,2023-05-10,57,43,86,81,462,362,399,295,114.2,117.8,0,2,14,18,2,5,10,8,2,5,0,1,2,3,2,2,26,43,14,16,5,2,8,17,2,1,0,0,14,16
4,Real Madrid,Man City ,2023-05-09,43,57,88,92,455,566,399,521,107.33,109.69,1,1,13,10,3,6,2,1,8,3,0,0,8,7,0,2,36,37,15,14,3,8,6,14,3,2,0,0,11,11
5,Inter,Benfica ,2023-04-19,41,59,81,86,426,657,347,568,124.01,126.68,3,3,11,12,3,5,4,4,4,3,0,1,4,6,1,2,46,46,20,15,3,4,17,15,0,3,0,0,13,10
6,Bayern,Man City ,2023-04-19,55,45,89,88,544,403,485,353,118.39,117.95,1,1,18,7,5,2,8,2,5,3,0,0,5,2,2,2,41,43,6,11,3,5,7,20,8,4,1,0,12,11
7,Chelsea,Real Madrid ,2023-04-18,52,48,92,89,560,498,518,445,114.66,110.9,0,2,17,9,6,6,5,3,6,0,0,1,8,2,2,2,37,31,14,10,0,6,8,19,3,1,0,0,16,8
8,Napoli,Milan ,2023-04-18,63,37,89,75,606,233,538,174,114.9,115.78,1,1,23,6,4,4,10,1,9,1,0,0,16,1,0,1,45,39,14,14,1,9,5,36,2,2,0,0,14,12
9,Milan,Napoli ,2023-04-12,48,52,84,84,425,476,358,402,112.41,111.82,1,0,12,15,2,5,7,5,3,5,1,0,3,10,1,0,37,30,18,19,4,3,15,8,4,6,0,1,16,13
10,Real Madrid,Chelsea ,2023-04-12,53,47,90,84,648,486,582,406,106.81,105.56,2,0,18,8,9,3,5,3,4,2,0,0,3,3,1,0,46,40,19,13,2,4,9,17,3,2,0,1,10,10
11,Man City,Bayern ,2023-04-11,46,54,83,87,437,567,362,495,121.68,120.35,3,0,17,12,9,4,5,3,3,5,0,0,8,5,0,1,42,34,20,10,5,3,14,13,1,2,0,0,11,8
12,Benfica,Inter ,2023-04-11,57,43,89,86,616,444,546,381,123.18,121.94,0,2,12,9,2,4,5,3,5,2,0,0,4,6,1,1,38,37,14,14,2,5,12,15,1,2,0,0,11,9
13,Napoli,Frankfurt ,2023-03-15,60,40,86,81,636,429,549,348,114.93,118.35,3,0,12,8,8,1,2,2,2,5,0,0,4,3,2,0,46,40,9,25,5,2,10,13,1,3,0,0,13,15
14,Real Madrid,Liverpool ,2023-03-15,55,45,87,84,527,455,458,384,106.09,111.33,1,0,18,9,7,5,6,4,5,0,0,0,5,9,5,2,23,34,18,23,0,5,14,11,0,2,0,0,7,17
15,Porto,Inter ,2023-03-14,65,35,86,73,626,301,538,220,128.24,127.46,0,0,19,11,5,5,6,4,8,2,1,0,6,3,2,2,44,40,9,22,2,8,14,24,3,3,1,0,11,18
16,Man City,Leipzig ,2023-03-14,62,38,91,80,651,343,594,273,118.62,114.47,7,0,22,3,15,1,4,2,3,0,2,0,10,0,1,2,35,39,5,9,0,3,4,14,2,2,0,0,10,7
17,Tottenham,Milan ,2023-03-08,50,50,84,85,483,430,406,365,117.35,116.73,0,0,9,14,2,3,3,5,4,6,0,1,6,0,0,1,44,38,22,16,6,4,5,13,5,1,1,0,18,13
18,Bayern,Paris ,2023-03-08,48,52,87,88,530,650,459,569,122,113.08,2,0,11,11,5,3,3,2,3,6,0,0,4,6,3,0,45,48,17,28,6,3,8,12,0,1,0,0,9,6
19,Chelsea,Dortmund ,2023-03-07,40,60,78,82,327,482,256,394,78.65,81.27,2,0,13,14,4,3,7,5,2,6,1,0,5,3,5,0,45,34,10,11,6,2,25,12,4,3,0,0,17,9
20,Liverpool,Real Madrid ,2022-05-28,50,50,88,85,611,525,536,446,114.45,111.12,0,1,23,3,9,1,6,1,8,1,0,0,6,2,1,4,47,47,14,18,1,8,2,11,1,0,0,0,13,7
21,Real Madrid,Man City ,2022-05-04,46,54,82,86,546,668,447,574,147.94,157.48,3,1,13,15,5,9,4,4,4,2,0,0,3,9,3,3,41,40,18,16,2,4,30,17,4,3,0,0,14,18
22,Villarreal,Liverpool ,2022-05-03,47,53,72,77,352,422,253,325,111.06,109.46,2,3,5,15,2,5,2,6,1,4,0,0,1,2,5,4,42,45,18,11,4,1,9,21,4,1,1,0,18,14
23,Liverpool,Villarreal ,2022-04-27,71,29,90,70,749,265,674,185,108.87,110.72,2,0,20,1,5,0,9,1,6,0,2,0,10,2,4,3,52,41,14,9,0,6,8,25,1,2,0,0,9,7
24,Man City,Real Madrid ,2022-04-26,59,41,90,84,630,432,565,361,123.08,114.78,4,3,16,11,5,5,6,4,5,2,1,0,5,3,3,2,35,29,9,10,2,5,5,6,2,1,0,0,11,5
25,Atlético,Man City ,2022-04-13,40,60,79,89,401,595,316,531,121.5,120.11,0,0,14,10,3,1,8,3,3,6,0,1,2,4,4,1,50,40,10,9,6,3,11,18,5,5,1,0,8,7
26,Liverpool,Benfica ,2022-04-13,63,37,87,78,772,390,670,305,120.08,120.47,3,3,18,5,5,4,8,1,5,0,0,0,8,0,1,5,43,43,6,11,0,5,5,21,0,0,0,0,9,11
27,Real Madrid,Chelsea ,2022-04-12,43,57,85,89,571,750,484,665,141.76,148.48,2,3,10,29,4,7,5,14,1,8,1,0,1,10,0,1,46,45,10,8,8,1,23,11,4,5,0,0,17,20
